
"Nombre";"Monto";"Titulo";
"Bezalel";"Staff";72527.0;
"Kazuhito";"Staff";77935.0;
"Uri";"Senior Staff";81705.0;
"Yinghua";"Senior Staff";97830.0;
"Sanjiv";"Senior Staff";78478.0;
"Tse";"Senior Staff";97338.0;
"Charlene";"Senior Staff";113229.0;
"Sudharsan";"Senior Staff";77955.0;
"Sailaja";"Staff";82715.0;
"Hilari";"Senior Staff";80955.0;
"Valter";"Senior Staff";98538.0;
"Dung";"Senior Staff";101676.0;
"Douadi";"Staff";70400.0;
"Itzchak";"Senior Staff";109501.0;
"Debatosh";"Senior Staff";102165.0;
"Valery";"Staff";61185.0;
"Duro";"Senior Staff";104747.0;
"Kazuhisa";"Staff";46867.0;
"Yolla";"Senior Staff";70667.0;
"Tadahiko";"Senior Staff";74763.0;
"Xiaobin";"Senior Staff";56694.0;
"Xinglin";"Staff";89557.0;
"Marko";"Senior Staff";104656.0;
"Susumu";"Staff";92118.0;
"Wonhee";"Senior Staff";90542.0;
"Frederique";"Senior Staff";77848.0;
"Shen";"Senior Staff";85691.0;
"Irene";"Senior Staff";109040.0;
"Mahendra";"Staff";77648.0;
"Bedir";"Senior Staff";57784.0;
"Baocai";"Senior Staff";93350.0;
"Isaac";"Senior Staff";91882.0;
"Dipayan";"Senior Staff";86090.0;
"Yucel";"Senior Staff";106632.0;
"Petter";"Senior Staff";106087.0;
"Ipke";"Senior Staff";98711.0;
"Heng";"Staff";58492.0;
"Dzung";"Senior Staff";85789.0;
"Christfried";"Senior Staff";87352.0;
"Mechthild";"Senior Staff";106263.0;
"Kasturi";"Staff";97400.0;
"Arto";"Senior Staff";86063.0;
"Satyanarayana";"Staff";78589.0;
"Seshu";"Senior Staff";81801.0;
"Qunsheng";"Staff";54438.0;
"Clyde";"Senior Staff";46583.0;
"Dante";"Senior Staff";107218.0;
"Takahira";"Senior Staff";92842.0;
"Alejandro";"Senior Staff";104943.0;
"Hironoby";"Staff";68411.0;
"Shooichi";"Senior Staff";72326.0;
"Guenter";"Staff";98993.0;
"Ortrud";"Senior Staff";85083.0;
"Ulf";"Senior Staff";68990.0;
"Martijn";"Staff";78692.0;
"Lidong";"Senior Staff";94363.0;
"Bingning";"Staff";81805.0;
"Khosrow";"Senior Staff";90768.0;
"Patricio";"Senior Staff";86445.0;
"Kazuhira";"Staff";103063.0;
"Phule";"Senior Staff";68210.0;
"Wonhee";"Senior Staff";110048.0;
"Sverrir";"Senior Staff";116386.0;
"Gina";"Senior Staff";100685.0;
"Gal";"Senior Staff";103382.0;
"Ung";"Staff";88502.0;
"Yoshimitsu";"Senior Staff";62566.0;
"Huiqun";"Senior Staff";80723.0;
"Maris";"Senior Staff";50195.0;
"Maik";"Senior Staff";49476.0;
"Xiong";"Staff";47967.0;
"Abdelwaheb";"Senior Staff";59896.0;
"Tiina";"Senior Staff";85728.0;
"Kwangsub";"Senior Staff";120116.0;
"Mary";"Senior Staff";122653.0;
"Mohamadou";"Senior Staff";80162.0;
"Yechiam";"Senior Staff";84392.0;
"Stella";"Senior Staff";86754.0;
"Yucel";"Senior Staff";126614.0;
"Arumugam";"Staff";99733.0;
"Serge";"Senior Staff";65771.0;
"Gao";"Staff";80992.0;
"Tetsushi";"Staff";93201.0;
"Almudena";"Staff";74725.0;
"Sanjit";"Senior Staff";70886.0;
"Lucien";"Senior Staff";80285.0;
"Emran";"Senior Staff";79208.0;
"Wayne";"Staff";118613.0;
"Tommaso";"Staff";93833.0;
"Vivian";"Senior Staff";99689.0;
"Sorina";"Staff";96424.0;
"Jenwei";"Senior Staff";57291.0;
"Anneke";"Senior Staff";82631.0;
"Remko";"Senior Staff";99498.0;
"Shunichi";"Senior Staff";97173.0;
"Larisa";"Senior Staff";93492.0;
"Hironobu";"Senior Staff";99116.0;
"Sorina";"Senior Staff";89961.0;
"Garnet";"Senior Staff";105260.0;
"Chenyi";"Senior Staff";91523.0;
"Monique";"Staff";47680.0;
"Frazer";"Staff";67353.0;
"Supot";"Senior Staff";104291.0;
"Terresa";"Staff";44465.0;
"Munehiro";"Senior Staff";60700.0;
"Lijie";"Senior Staff";63651.0;
"Shalesh";"Senior Staff";83035.0;
"Nidapan";"Senior Staff";83290.0;
"Hidde";"Senior Staff";99869.0;
"Kwangho";"Senior Staff";54124.0;
"Fusako";"Senior Staff";78714.0;
"Zhenbing";"Senior Staff";106685.0;
"Elliott";"Senior Staff";86188.0;
"Lakshmi";"Staff";84104.0;
"Cheong";"Senior Staff";89362.0;
"Ramzi";"Senior Staff";95299.0;
"Arno";"Senior Staff";136004.0;
"Munehiro";"Staff";71378.0;
"Younwoo";"Senior Staff";79583.0;
"Hironoby";"Senior Staff";108286.0;
"Jahangir";"Senior Staff";101751.0;
"Urs";"Senior Staff";125713.0;
"Duke";"Senior Staff";70434.0;
"Billur";"Senior Staff";70123.0;
"Naraig";"Senior Staff";100477.0;
"Eckart";"Senior Staff";95372.0;
"Lakshmi";"Senior Staff";102344.0;
"Sugwoo";"Senior Staff";95533.0;
"Matk";"Senior Staff";65811.0;
"Marlo";"Staff";68449.0;
"Alper";"Senior Staff";100178.0;
"Yifei";"Senior Staff";73249.0;
"Georgi";"Senior Staff";110670.0;
"Elvia";"Staff";61156.0;
"Jaques";"Senior Staff";71176.0;
"Gift";"Senior Staff";81133.0;
"Shaleah";"Staff";79822.0;
"Palash";"Staff";89685.0;
"Adly";"Staff";78603.0;
"Pintsang";"Senior Staff";101549.0;
"Yishai";"Senior Staff";68236.0;
"Conal";"Senior Staff";51236.0;
"Woody";"Senior Staff";109495.0;
"Chinho";"Senior Staff";66599.0;
"Gladys";"Senior Staff";93281.0;
"Carrsten";"Senior Staff";66082.0;
"Ishfaq";"Senior Staff";118453.0;
"Domenico";"Senior Staff";126202.0;
"Geraldo";"Senior Staff";108321.0;
"Moon";"Staff";95727.0;
"Becky";"Senior Staff";83904.0;
"Djenana";"Senior Staff";79373.0;
"Alain";"Senior Staff";91367.0;
"Shmuel";"Senior Staff";83123.0;
"Dante";"Senior Staff";99020.0;
"Saeko";"Senior Staff";80196.0;
"Tadahiro";"Senior Staff";104016.0;
"Leif";"Senior Staff";71477.0;
"Tayeb";"Staff";92356.0;
"Teruyuki";"Senior Staff";94222.0;
"Yishai";"Senior Staff";81056.0;
"Margareta";"Senior Staff";95170.0;
"Gurbir";"Senior Staff";107332.0;
"Danel";"Staff";55457.0;
"Amalendu";"Senior Staff";111611.0;
"Garnik";"Staff";78895.0;
"Frederique";"Staff";95778.0;
"Josyula";"Staff";89424.0;
"Joydip";"Senior Staff";108308.0;
"Subhankar";"Senior Staff";96997.0;
